price,bedrooms,living_in_m2,real_bathrooms
312000,2,138.42547,2
310000,2,105.90942,1
320000,2,117.98681,1
264500,2,151.43189,2
700000,3,341.88304,3
445000,1,84.54173,1
240500,2,135.63838,1
235000,1,139.3545,1
206000,2,105.90942,1
545000,2,118.91584,2
475000,3,347.45722,2
456000,3,206.24466,1
478000,2,145.85771,2
690000,3,269.4187,2
675000,3,297.2896,2
442500,2,167.2254,1
540000,3,266.63161,3
255000,3,163.50928,2
399950,2,136.56741,1
455000,3,178.37376,1
435000,1,91.97397,1
470000,3,234.11556,2
155000,1,93.83203,1
82000,2,79.89658,1
650000,3,261.98646,2
219950,1,93.83203,1
489000,1,136.102895,2
442500,3,143.07062,2
314950,2,157.00607,2
575000,1,114.27069,1
740000,3,207.17369,2
820000,2,200.67048,1
700000,2,188.59309,2
227000,2,104.98039,1
260000,3,185.806,2
208000,2,97.54814999999999,1
625000,2,211.81884,2
359000,2,184.87697,2
630000,3,230.39944,2
205000,2,111.4836,1
539500,3,211.81884,2
261000,3,169.08346,1
423000,3,183.01891,2
513000,3,179.30279,2
690000,2,225.75429,2
455000,2,128.20614,1
849990,3,306.5799,2
340000,3,114.27069,1
225000,3,206.24466,2
250000,1,95.69009,1
315000,2,164.43831,2
799990,2,264.77355,2
450000,2,142.14159,1
425000,3,160.72219,1
489900,2,156.07704,1
438000,2,217.39302,2
292000,2,149.57383,2
730000,3,203.45757,2
245000,2,110.55457,2
426500,3,250.8381,2
499000,2,117.98681,1
395000,3,165.36734,2
863000,3,260.1284,1
460000,3,236.90265,2
157000,1,80.82561,1
589000,3,178.37376,1
372500,3,147.71577,1
630000,3,248.05101,2
425000,3,212.74787,1
162950,1,88.25785,1
475000,3,196.95436,2
302000,3,202.52854,2
220500,1,91.97397,1
400000,3,248.05101,1
212500,1,95.69009,2
496700,2,161.65122,2
230000,3,179.30279,2
802945,3,371.612,3
215000,3,139.3545,2
395000,1,125.41905,2
560000,2,176.5157,2
509000,1,179.30279,1
495000,3,232.2575,3
621000,2,124.49002,1
537000,3,144.92867999999999,2
715000,2,284.28318,3
300000,2,157.9351,1
365070,3,232.814918,2
370000,1,118.91584,2
525000,1,89.18688,1
810000,3,329.80565,3
1153000,2,351.17334,3
185000,2,139.3545,1
425000,2,232.2575,1
245000,2,184.87697,3
250000,3,143.99965,1
510000,2,235.97362,2
725000,2,331.66371,2
390000,1,173.72861,1
225000,2,201.59951,2
1040890,3,388.33454,3
555000,3,200.67048,2
675000,2,236.90265,2
464050,1,72.46433999999999,1
389000,2,125.41905,2
542000,3,176.5157,1
345000,1,100.33524,1
275000,1,119.84487,2
670000,3,265.70258,2
739900,3,305.65087,2
650000,3,245.26391999999998,2
785000,3,303.79281,2
1150000,3,216.46399,2
475000,1,85.47076,1
525000,2,139.3545,1
845000,3,267.56064,2
653000,3,289.85735999999997,2
759900,3,278.709,2
488000,3,187.66406,2
295000,2,139.3545,1
229900,2,102.1933,1
450000,2,170.01248999999999,1
1072500,2,268.48967,2
185000,1,129.13517,1
729000,3,247.12198,2
455000,3,208.10272,2
765000,2,214.60593,2
680000,3,292.64445,3
290000,2,137.49644,1
580000,2,203.45757,2
760000,3,306.5799,2
920000,3,348.38625,3
595000,3,195.09629999999999,2
470000,2,199.74145,2
279000,2,165.36734,1
317000,2,170.94152,2
585000,3,222.9672,3
229000,2,163.50928,2
910000,2,202.52854,2
229950,2,95.69009,1
562000,3,259.663885,3
229500,2,168.15443,1
639000,3,205.31563,2
265000,2,144.92867999999999,1
340000,3,226.68332,2
256000,3,190.45115,2
405000,2,115.19972,2
210000,2,147.71577,1
749950,3,288.92833,2
370000,3,203.45757,2
361500,2,99.40621,1
445000,2,195.09629999999999,2
660000,2,216.46399,2
299000,3,215.53496,2
650000,3,367.89588,3
350000,3,213.6769,2
535500,2,160.72219,1
673200,3,388.33454,3
988990,3,385.54745,3
264500,2,127.27711,2
464000,2,228.54138,2
475000,2,165.36734,1
215000,2,109.62554,1
315000,1,104.05136,1
213500,2,113.34166,1
225000,1,87.32882,1
260000,2,138.332567,2
785000,3,306.5799,2
250000,1,130.0642,1
449500,3,211.81884,3
515000,2,195.09629999999999,2
729999,1,151.43189,2
224500,3,132.85129,1
959000,2,308.43796,2
398000,1,54.81277,1
738950,3,209.96078,2
190000,1,66.89016,1
689800,2,222.03817,2
152500,3,160.72219,1
775000,2,329.80565,2
330000,2,198.81242,1
339900,2,111.4836,1
235000,2,89.18688,1
490000,3,314.94117,2
825000,2,186.73503,1
222000,2,111.4836,2
250000,2,97.54814999999999,2
340500,2,285.21220999999997,2
350000,1,150.50286,1
442000,1,91.97397,1
430000,3,169.08346,2
608000,2,222.9672,2
269950,2,141.21256,2
505000,1,116.12875,1
655000,3,201.59951,2
395000,2,233.18653,2
349000,2,166.29637,1
241450,2,102.1933,1
560000,3,236.90265,2
288000,1,132.85129,1
490000,2,178.37376,1
494000,3,166.29637,2
268000,1,128.20614,1
315000,1,90.11591,1
410000,3,183.01891,2
300000,2,264.77355,3
553000,2,123.56099,1
390000,2,148.6448,1
335000,1,117.98681,1
598780,3,282.42512,2
699000,3,300.07669,2
219000,2,116.12875,1
440000,3,157.00607,1
291000,2,137.49644,2
604000,2,133.78032,1
690000,2,175.58667,2
400000,2,172.79958,2
235000,3,134.70935,1
440000,2,189.52212,2
282500,2,155.14801,2
505000,2,128.20614,1
865000,2,283.35415,2
630000,3,269.4187,2
425000,2,156.07704,1
282000,3,222.03817,2
285000,2,180.23182,2
210000,1,92.903,1
628000,3,241.5478,2
682000,3,256.41228,2
570000,2,130.0642,2
445000,2,171.87055,1
660000,2,209.96078,3
330000,2,205.31563,2
675000,2,192.30921,2
437500,2,138.42547,2
377000,2,169.08346,1
449500,3,223.89623,2
384205,2,168.15443,2
277950,2,195.09629999999999,2
375000,3,195.09629999999999,2
402000,2,134.70935,1
525000,3,219.25108,2
243000,1,164.43831,1
590000,2,231.32847,2
790000,2,228.54138,2
515000,2,148.6448,1
315000,2,175.58667,1
418800,3,195.09629999999999,2
715000,3,317.72826,1
360000,2,168.15443,1
225000,2,93.83203,1
216000,1,79.89658,1
900000,3,280.56706,3
426000,2,205.31563,2
345000,1,90.11591,1
470000,3,231.32847,1
445000,2,205.31563,2
595000,2,305.65087,2
450000,1,160.72219,2
680000,3,226.68332,3
397990,2,109.62554,1
900000,2,315.8702,2
224500,2,120.7739,1
345000,2,157.00607,2
453000,1,107.76748,1
1151250,3,180.23182,2
675000,2,276.85094,3
450000,2,230.39944,2
300000,1,106.83845,1
890000,3,257.34131,3
525000,3,367.89588,3
171500,2,106.83845,1
623000,2,190.45115,1
550000,2,176.5157,2
330000,2,122.63195999999999,1
355000,2,147.71577,2
863000,3,382.76036,2
289000,1,191.008568,1
1140000,3,307.50893,2
425996,3,238.574904,2
349000,2,147.71577,1
1155000,3,276.85094,2
365000,2,265.70258,2
316000,2,176.5157,2
654000,2,206.24466,2
833000,3,203.45757,2
929000,3,385.54745,3
426000,2,104.98039,1
446250,2,221.10914,2
995000,3,357.67655,3
730000,3,232.2575,3
356000,3,148.6448,2
823000,2,237.83168,2
419900,3,267.56064,3
1150000,2,201.59951,1
482500,3,273.13482,3
550000,2,271.27676,2
219000,2,111.4836,1
465000,2,190.45115,2
640000,3,228.54138,2
980000,3,301.93475,3
390000,2,157.00607,2
1003000,3,212.74787,2
703011,1,127.27711,1
445000,2,249.90906999999999,2
349950,2,157.9351,2
650000,2,271.27676,1
337000,3,147.71577,2
357000,3,183.94794,2
289950,2,192.30921,2
767500,1,205.31563,1
379400,3,196.95436,1
378500,1,67.81919,1
733000,3,205.31563,2
167000,2,141.21256,2
493500,2,167.2254,1
411715,2,170.94152,1
830200,2,248.98004,2
370000,2,231.32847,2
743000,3,316.79923,2
936000,3,309.36699,2
225000,2,123.56099,1
950968,3,299.14766,3
805000,3,280.56706,2
550000,1,131.92226,1
614000,3,267.56064,2
1050000,3,295.43154,3
327000,3,222.9672,2
580500,2,215.53496,2
510000,2,255.48325,2
535000,2,122.63195999999999,2
549000,1,105.90942,1
285000,2,148.6448,1
762400,2,225.75429,1
858450,3,321.44438,2
314000,3,217.39302,2
436000,2,139.3545,1
365000,1,133.78032,2
815000,2,210.88981,2
678500,3,243.40586,3
400000,2,153.28995,2
